SEARCH,GRAMMAR AND PROSODY,ACCENTUATION,CLASSICAL PRONUNCIATION,ECCLESIASTICAL PRONUNCIATION
a," ā, prep. + abl. ",a,aː,a
ab, ăb + abl.,ab,ab,ab
abdico," ābdĭco, abdĭcas, abdĭcāre, abdicavi, abdicatum",áb-di-co ,aːbdɪko,abdiko
abdico," ābdīco, abdīcis, abdīcĕre, abdixi, abdictum",ab-dí-co ,aːbdiːko,abdiko
abditus," ābdĭtus, a, um ",áb-di-tus,aːbdɪtʊs,abditus
abdo," ābdo, is, ere, didi, ditum ",ab-do,aːbdo,abdo
abduco," ābdūco, is, ere, duxi, ductum ",ab-dú-co,aːbdʊːko,abduko
abeo," ăbĕo, is, ire, ii, itum ",á-be-o,abɛo,abɛo
abhorreo," ăbhōrrĕo, es, ere, horrui, - ",a-bhór-re-o,abhoːrrɛo,aborrɛo
abicio," ābĭcĭo, is, ere, abieci, abiectum ",a-bí-ci-o,aːbɪkɪo,abitʃo
abigo," ăbĭgo, is, ere, egi, actum ",á-bi-go,abɪgo,abigo
abnuo," ābnŭo, is, ere, abnui ",áb-nu-o,aːbnwo,abnuo
aboleo," ăbŏlĕo, es, ere, eui, itum ",a-bó-le-o,abɔlɛo,abɔlɛo
abripio," ābrĭpĭo, is, ere, ripui, reptum ",a-brí-pi-o,aːbrɪpɪo,abripjo
abrogo," ābrŏgo, as, are ",á-bro-go,aːbrɔgo,abrɔgo
abrumpo," ābrūmpo, is, ere, rupi, ruptum ",a-brúm-po,aːbrʊːmpo,abrumpo
abscedo," ābscēdo, is, ere, cessi, cessum ",ab-scé-do,aːbskeːdo,abʃedo
abscido," ābscīdo, is, ere, cidi, scisum ",ab-scí-do,aːbskiːdo,abʃido
abscindo," ābscīndo, is, ere, scidi, scissum ",ab-scín-do,aːbskiːndo,abʃindo
abscondo," ābscōndo, is, ere, didi , ditum  ",ab-scón-do,aːbskoːndo,abskondo
absens," ābsēns, entis ",ab-sens,aːbseːns,absens
absolvo," ābsōlvo, is, ere, solui, solutus ",ab-sól-vo,aːbsoːlwo,absolvo
abstinens," ābstĭnēns, entis ",ábs-ti-nens,aːbstɪneːns,abstinens
abstinentia," ābstĭnēntĭa, ae, f. ",abs-ti-nén-ti-a,aːbstɪneːntɪa,abstinentsja
abstineo," ābstĭnĕo, es, ere, tinui, tentum ",abs-tí-ne-o,aːbstɪnɛo,abstinɛo
abstraho," ābstrăho, is, ere, traxi, tractum ",ábs-tra-ho,aːbstraho,abstrao
absum," ābsŭm, es, esse, afui ",ab-sum,aːbsʊm,absum
absumo," ābsūmo, is, ere, sumpsi, sumptum ",ab-sú-mo,aːbsʊːmo,absumo
absurdus," ābsūrdus, a, um ",ab-súr-dus,aːbsʊːrdʊs,absurdus
abundans," ăbūndāns, antis ",a-bún-dans,abʊːndaːns,abundans
abunde," ăbūndē, adv. ",a-bún-de,abʊːndeː,abunde
abundo," ăbūndo, as, are ",a-bún-do,abʊːndo,abundo
abundus," abūndus, a, um ",a-bún-dus,abʊːndʊs,abundus
abuto," ăbūto, ĕre ",a-bú-to,abʊːto,abuto
abutor," ăbūtŏr, eris, i, abusus sum ",a-bú-tor,abʊːtɔr,abutɔr
ac," āc, con. ",ac,aːk,ak
accedo," āccēdo, is, ere, cessi, cessum ",ac-cé-do,aːkkeːdo,attʃedo
accendo," āccēndo, is, ere, di, sum ",ac-cén-do,aːkkeːndo,attʃendo
accendo," āccēndo, ōnis, m. ",ac-cén-do,aːkkeːndo,attʃendo
acceptum," āccēptum, i, n. ",ac-cép-tum,aːkkeːptʊm,attʃeptum
acceptus," āccēptus, a, um ",ac-cép-tus,aːkkeːptʊs,attʃeptus
accessio," āccēssĭo, ōnis, f. ",ac-cés-si-o,aːkkeːssɪo,attʃessjo
accido," āccīdo, is, ere, cidi ",ac-cí-do,aːkkiːdo,attʃido
accido," āccĭdo, is, ere, cidi ",ác-ci-do,aːkkɪdo,attʃido
accingo," āccīngo, is, ere, cinxi, cinctum ",ac-cín-go,aːkkiːngo,attʃingo
accio," āccĭo, is, ire, acciui, accitum ",ác-ci-o,aːkkɪo,attʃo
accipio," āccĭpĭo, is, ere, cepi, ceptum ",ac-cí-pi-o,aːkkɪpɪo,attʃipjo
accola," āccŏla, ae, m. ",ác-co-la,aːkkɔla,akkɔla
